date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,80,3.1604,10.6004,2.9300,10.6004,3.3110,1,4.943,5.881
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,81,1.6657,14.5794,0.3848,14.5794,8.9210,1,1.393,2.603
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,82,1.2494,7.0406,1.4006,7.0406,4.2130,1,1.712,2.790
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,83,1.4006,6.6085,0.5116,6.6085,3.5970,1,2.146,4.647
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,84,0.6337,6.0587,0.3288,6.0587,5.2910,1,1.055,1.709
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,85,1.0105,5.6787,0.8715,5.6787,1.8370,1,1.526,3.272
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,86,0.8715,9.8285,3.9180,9.8285,3.3220,1,1.254,3.592
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,87,3.9180,11.4895,3.1256,11.4895,8.3050,1,3.837,8.466
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,88,3.1256,11.4925,4.9325,11.4925,2.7830,1,3.521,5.224
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,89,4.9325,14.4820,0.8726,14.4820,7.4690,1,4.711,4.716
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,90,0.8726,9.9912,3.1269,9.9912,6.9740,1,1.470,4.746
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,91,6.4710,17.7304,4.1826,17.7304,6.1710,1,6.448,10.240
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,92,3.4947,10.4764,3.4390,10.4764,2.1670,1,2.984,8.492
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,93,3.4390,21.9776,6.2622,21.9776,5.4560,1,2.618,6.921
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,94,6.2622,17.6966,2.9881,17.6966,4.3340,1,5.385,11.964
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,95,2.1318,13.1812,1.0966,13.1812,4.3230,1,6.524,7.819
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,96,2.0311,12.7059,2.2765,12.7059,3.9160,1,6.213,8.505
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,97,2.2765,8.9636,1.6911,8.9636,3.7070,1,8.891,8.972
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,98,1.6911,9.2276,0.7826,9.2276,3.9490,1,5.040,8.859
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,99,0.7826,8.4254,2.3373,8.4254,3.0690,1,6.073,10.047
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,100,2.3373,17.4246,12.8721,17.4246,4.7300,1,5.492,5.694
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,101,12.4817,19.5600,2.2316,19.5600,4.1250,1,11.189,14.263
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,102,1.1510,16.6629,2.4861,16.6629,5.7640,1,5.378,7.704
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,103,3.3304,12.7847,2.8452,12.7847,2.8490,1,5.231,5.232
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,104,2.8452,7.2450,1.5358,7.2450,2.2770,1,7.397,9.375
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,105,1.7683,5.4174,1.0942,5.4174,8.5360,1,4.928,5.147
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,106,5.4826,16.1176,2.4428,16.1176,4.9500,1,6.379,9.719
